nom site,Polluant,valeur brute
A7 SUD LYONNAIS,NO,10.824999999999998
A7 SUD LYONNAIS,NO2,18.147222222222222
A7 SUD LYONNAIS,PM10,8.140625
A7 SUD LYONNAIS,PM2.5,7.921875
A7 Salaise Ouest,NO,26.013461538461545
A7 Salaise Ouest,NO2,29.465384615384615
A7 Salaise Ouest,PM10,8.183333333333334
A7 Salaise Ouest,PM2.5,5.795833333333334
A7 Valence Est,NO,4.371153846153846
A7 Valence Est,NO2,16.4
A7 Valence Est,PM10,10.124999999999998
A7 Valence Est,PM2.5,4.572916666666666
ABYMES RN1,NO,12.586111111111112
ABYMES RN1,NO2,11.761111111111111
ABYMES RN1,NOX as NO2,31.061111111111114
ABYMES RN1,PM10,15.202777777777776
AIRVAULT 3,NO,1.4826923076923075
AIRVAULT 3,NO2,6.836538461538462
AIRVAULT 3,NOX as NO2,9.103846153846153
AIRVAULT 3,O3,29.657692307692308
AIRVAULT 3,PM10,16.467307692307692
AIRVAULT 3,SO2,3.2653846153846158
AIX CENTRE ECOLE ART,NO,9.638461538461538
AIX CENTRE ECOLE ART,NO2,19.201923076923073
AIX CENTRE ECOLE ART,NOX as NO2,33.97692307692308
AIX CENTRE ECOLE ART,PM10,11.216666666666669
AIX CENTRE ECOLE ART,PM2.5,7.41875
AIX PLATANES,O3,33.29359
AIX ROY RENE,NO,18.68846153846154
AIX ROY RENE,NO2,27.388461538461538
AIX ROY RENE,NOX as NO2,56.05769230769231
AIX ROY RENE,PM10,13.516666666666667
AJACCIO ABBATUCCI,CO,664.2307692307693
AJACCIO ABBATUCCI,NO,13.655769230769229
AJACCIO ABBATUCCI,NO2,19.76923076923077
AJACCIO ABBATUCCI,NOX as NO2,40.55192307692308
AJACCIO ABBATUCCI,PM10,22.347916666666666
AJACCIO CANETTO,NO,1.189743846153846
AJACCIO CANETTO,NO2,8.772436153846153
AJACCIO CANETTO,NOX as NO2,10.588461538461539
AJACCIO CANETTO,O3,41.874358461538456
AJACCIO CANETTO,PM10,14.780769230769234
AJACCIO CANETTO,PM2.5,6.565384615384616
AJACCIO CANETTO,SO2,2.1237184615384614
AJACCIO PIATANICCIA,NO,0.7455130769230769
AJACCIO PIATANICCIA,NO2,2.9038461538461537
