nom_centre,Lat,Lon,nitrite (mg/L),nitrate (mg/L)
A7 SUD LYONNAIS,45.7200778,4.8181621,1.1918103460050369,33.43171525708534
Salaise Sur Sanne,45.3441237,4.8189855,2.3233568692595306,32.69993696669072
A7 Valence Est,49.1935724,6.6782311,0.5129599776762981,35.01634980600168
ABYMES,16.2706436,-61.5057749,0.8104389920580984,30.84397325337218
AIRVAULT 3,46.2040093,-1.3701376,1.2259594663322124,54.91337264436736
AIX CENTRE,47.1960417,2.579296780626312,0.9094743571587881,25.4636876810634
AIX PLATANES,43.55686274999999,5.461404892347498,2.176608394380583,38.841657384583684
AIX ROY RENE,43.7078462,5.2026935,0.9543698103980706,45.08665715493028
AJACCIO ABBATUCCI,41.9251169,8.7384403,0.8524870335492563,33.254700005630156
Ajaccio,41.9263991,8.7376029,0.10332822422387766,47.363565495705565
Effrico,41.9663031,8.8119793,1.679269113771392,6.089975099758334
AJACCIO SPOSATA,41.94629985,8.756238894729586,2.160612530499405,18.70238695108164
ALBI DELMAS,43.9442892,2.136603,1.691769078492327,28.12209651218624
AMBES,45.0121558,-0.5291847,1.1369690235653964,44.882518312409644
AMPERE,-25.9168712,-53.4742414,0.018657837307636704,17.842266792346685
ANGLET,43.4813927,-1.5149935,1.4256117013623286,27.51672826427869
ANGOULEME-GAMBETTA,45.658776,0.190989,0.2140910268218842,29.48780273456085
ANNECY Rocade,45.906,6.1143052,0.9214453828596147,39.28983825896736
ANNEMASSE,46.1934005,6.2341093,0.8807397270794344,41.46361649492982
ANTIBES JEAN MOULIN,43.58393625,7.1271616879851285,1.4184316062959774,32.94892135257462
APPENTIS,47.4451985,-0.5466557,0.5050024604142809,33.13459749724177
APT,43.8757936,5.3970648,2.6531078003157744,38.37109128251337
ARGENTEUIL,48.9479069,2.2481797,1.531824131891567,51.68169509457283
AUBAGNE LES PASSONS,43.2945138,5.5803895,0.4157553443093924,26.874365994541197
AUBERVILLIERS,48.9146078,2.3821895,0.4756562262656847,13.84301457498718
AVIGNON   MAIRIE,46.3897111,5.8451705,1.5100980840052447,19.97661993542142
Pezenas,43.4611777,3.4228323,1.3561290026888093,28.545007454141608
Albertville,45.6754622,6.3925417,1.1364713972056464,52.81304664949169
Alençon,48.4312059,0.0911374,0.09367977319186549,44.65232768531675
Arles,43.6776223,4.6309653,0.8311280649929171,22.598602576509787
Arrest,50.1269942,1.6166193,1.3959336434793705,23.210541988316898
Atton,48.8911882,6.0924226,2.1240298446396153,9.109469780569412
Aurillac-Lagarde,44.9201345,2.4412078,1.3118045161249812,33.7315827670194
Auto A1 -Saint-Denis,48.90103055,2.406452700916972,0.8535893026834975,61.05326868708358
Auxerre,47.7961287,3.570579,0.39731409750211943,15.045825276066791
Av Champs Elysees,-22.9960381,-47.0096874,2.6445766235019876,53.481438364751426
Avignon Semard,43.9339189,4.8317177,1.5981710682500445,32.990333899533745
Aytré,46.1333325,-1.1146694,1.1480499811563216,29.459047696132995
BASSENS,44.9015003,-0.5163222,1.4138182997278959,25.31746627427587
BASTIA FANGO,42.702489,9.4459344794838,2.0957264834523075,35.053475942692174
BASTIA GIRAUD,42.6960351,9.4467582,1.0896431318551876,29.667532343799788
BASTIA LA MARANA,42.53695,9.4716234,0.29788096518447826,21.39993682594185
BASTIA MONTESORO,42.6721716,9.4333935,1.1668551368052245,27.586406973850455
BD BANKS,14.5348006,49.1257957,2.1549968950533036,10.328628775744491
BEAUX ARTS,50.4148607,4.4427352,2.852345612494325,27.985303185558045
BELESTA EN LAURAGAIS,43.4417,1.8219,0.2818935942227039,30.055212609623297
BESSIERES,43.8002365,1.6076595,1.9362220599294582,39.41795225706527
BETHENY,49.2845383,4.0535127,0.8518916055997598,75.37219530101554
BILLERE,43.3030044,-0.3905556,1.260816722720935,17.5338666543051
BOBIGNY,48.906387,2.4452231,0.9085135081267026,40.44615801350892
BORDEAUX-BASTIDE,44.6047994,-0.5499741,1.1090215758273638,39.512578322605194
BOSSONS,46.539194,6.6171232,0.6873611600134817,47.353482214120845
BREST Plouzané,48.3817165,-4.6212044,3.373966549768199,17.429664120067848
BRIGNOLES,43.4064401,6.0616452,3.484945287600984,48.49013826063852
BRIVE - Dalton,45.1590293,1.5391535,0.5297455581656818,35.43394415182068
Base loisirs Poses,49.2951265,1.2495755482456148,1.3857760598156732,62.469980562603006
Baume-les-Dames,47.3526707,6.3614622,0.7844134632532938,16.995160871379966
Beaulieu,47.7277699,4.7269377,1.9791069798671388,15.676515992740505
Belfort Octroi,47.64062555,6.85922297715133,2.472225545489283,21.12487241431135
Belleville sur Meuse,49.1814053,5.370347,2.737326231470073,26.118837803751205
Berre l'Etang,43.4758249,5.1673492,0.5377755336799774,41.22185736183751
Besancon Mégevand,47.2346014,6.0252688,0.7197403740442989,23.74813434330041
Besancon Prevoyance,47.2476062,6.0156273,0.8678987463384273,32.075892964868046
Bethune Stade,50.5057007,2.6625955,1.8516994887182014,20.008799027306118
Biarritz-hippodrome,43.4717247,-1.5522461309095656,1.0824772856990812,34.41480612591374
Narbonne,43.1837661,3.0042121,0.4738030108498644,54.091052688039504
Blois nord,47.6044152,1.3088814023826878,2.2257709609706735,59.311359807013645
Bordeaux_GAUTIER,44.8860893,-0.6969901,0.572537131691712,9.534324948182217
Bouchon,50.0352746,2.0287752,0.4675439955369851,17.60296321476305
Boulevard Haussmann,48.8746173,2.320552,0.4627073916630089,49.18348530660649
Boulevard Soult,48.8379156,2.4081589,0.397474977462281,10.420290148797697
Boulogne Diderot,48.8188585,2.2867541,0.7157560247420418,30.36267348826097
Bourg-en-Bresse,46.2051192,5.2250324,1.7494508286938233,18.379768052991373
Bourges-Baffier,47.0749168,2.4076749,0.8512569846349402,14.092847081205075
Bourgoin-Jallieu,45.5872259,5.2828123,0.8035165735745788,29.136535732079043
Brest Desmoulins,48.3967209,-4.4856843,0.7587933415600362,28.786568242357404
Brest Mace,48.3881255,-4.4904473,1.5924291167361382,48.58020482652565
Bures-en-bray,49.779538,1.3365365,2.412670047310953,43.89615661449739
Bouzonville,49.2901634,6.535247,0.5203202949904598,23.0221444878229
CAME,43.4731313,-1.1093292,0.7247125594601762,46.93576778309881
CAMEE,47.3207165,-2.1291467,0.5219965676875407,22.656504062001762
CANNES BROUSSAILLES,43.5542172,7.0202972,2.1946905596571593,19.941564799561583
CARPENTRAS,44.0554043,5.0487681,0.9053827471627406,0.14245902417149026
CERGY-PONTOISE,49.0527528,2.0388736,1.891899761143225,33.519592456331345
CHALONS,45.4458331,4.9310763,1.5067796823634798,52.434342302447206
CHAMBERY LE HAUT,45.5912077,5.9186835,0.8973668933874399,33.29337266197989
CHAMONIX,45.9246705,6.8727506,0.12455353053633167,25.005109710593608
CHAMPIGNY-SUR-MARNE,48.8137759,2.5107384,1.1056532488711723,35.55645304154227
Toulouse,43.6044622,1.4442469,2.4784201745909673,42.75503907424943
CHARLEVILLE,48.813549,3.6664318,0.42482348711705475,22.913432959108373
CIANS,44.0363459,6.9784989,1.1926634805165353,19.292279173203767
Nantes,47.2186371,-1.5541362,0.015517392978089295,51.48107090999945
CLOS DES BEAUVAIS,49.200036,2.2062417,1.0189596807727102,53.63620665931178
CONTES 2,48.4561669,0.089214,1.1472788070275193,23.13798012199776
COTIERE AIN,45.87139755,5.130525257311717,1.701263884901281,33.277532120297124
Caen Chemin-Vert,49.1922705,-0.4022866100098073,2.402407659775148,44.527452663983944
Caen Vaucelles,49.1736814,-0.3558714,1.0422318307570828,43.472508218578454
Calais Berthelot,50.9464259,1.8427345,0.814325985994554,32.97878767192664
Calais Parmentier,49.8530839,3.2610366,2.625727394089555,15.205504720717636
Campagne les B.,50.67823865,5.616179196092126,2.542438594972461,6.568671266401502
Capitainerie,16.2352578,-61.53578357642478,2.1135405692801816,42.59564869413344
Cappelle la Grande,50.9977218,2.3677943,2.698715578601152,26.42099798296158
Cartignies,50.0918633,3.8456091,1.6062470150039043,12.146759045108961
Caucriauville,49.5113856,0.1769147,0.8177357045227416,5.6114445390818695
Centre Hospitalier,46.79833815,1.6952254432950138,0.6020587903948893,25.297153638739218
Centre Penitencier,43.1600887,6.0562596,1.3286987322166364,34.71190104945407
Chalampé,47.8208892,7.5410482,0.27297979551518115,24.72686904447172
Chalon Centre Ville,47.3853076,0.5548621,0.6349728192302331,14.42835816414159
Chamalières Europe,45.7740326,3.0619228,1.0716939820326077,43.025287595102334
Chambéry Trafic,45.5694413,5.932979100000002,1.4006085499675613,33.85665792991513
Champ sur Drac,45.077144,5.729987,0.6158711403792014,33.331674486314746
Chateauneuf La Mede,43.3980572,5.1124433,1.4300525980714822,26.725890478431115
Chateauroux Sud,46.7821602,1.6520334,1.9059250163955066,22.687400288433423
Chatenois,48.272548,7.4013652,1.2113797521307104,67.8164214094729
Cheiron,43.8778295,6.5075277,0.6591467253025611,15.68138405555429
Cherbourg Hotel de Ville,49.409886,-1.31802849583867,2.7676457203984985,38.38088247590571
Clermont-Esplanade Gare,45.7773097,3.0963661,1.0535691171256167,30.903857579596483
Colmar Centre,49.8115499,6.0969564,2.693020305292916,0.9354465241538961
Colmar Sud,-22.9903325,-43.5971557,0.997237367645631,35.87835928980121
Concorde,43.6594233,1.3604885246753304,1.3181897909072495,37.152812001781705
DAURAT ST GAUDENS,43.1056109,0.7193318538132707,0.5783321790432486,33.515727828480614
DAX,43.7084065,-1.0518771,1.073549348520724,17.98404563499706
DELACROIX,50.8452755,4.3242362,0.654215343366052,51.21465932817958
DOUMER,44.1575886,0.4713068,1.3503687231253525,39.7114788984843
Daix,47.3521149,5.0008333,1.191345264915677,18.63595699424566
Dambenois Citoyen,47.5414192,6.8676603,1.8542957500039892,2.2636719148504483
Damparis,47.0758071,5.4135618,0.07882696649952514,20.782607964803425
Denain Villars,50.3268584,3.3932216,0.8648048880964034,37.57881667018499
Dieppe Golf,49.9166887,1.0550635840996807,2.2181872670728167,25.031059465888102
Dijon Péjoces,47.309742,5.0589361,2.076603284271348,13.239615778828064
Dijon Trémouille,47.3264338,5.0422873,0.2601290331036591,6.462508658362683
Dijon-Transvaal,47.3154299,5.0378028,0.6082602862266824,41.806293782234576
Dole centre,47.0906587,5.4966313,0.4583067618597153,54.585928434486775
Douai Theuriet,50.378643,3.065736623439584,1.5516834228085106,10.31699153905842
Dreux Centre,48.7358807,1.3684254,0.45202677318712847,28.309936531826306
EPINETTES,48.8937508,2.319855827428138,1.7629474672452106,28.944830967852628
ESTEREL,46.0423647,-74.020411,0.42490740155451623,26.00088762563162
EVRY,48.26406,3.25604,0.6957735713060261,22.18160510471612
Ecole JOINVILLE,48.8189768,2.454195192219067,1.7328297972299636,28.72686033441648
Ecole La Marine,5.3438547,-4.038462590434783,0.5989797845405497,5.652700302013027
Edouard Michelin,47.367716,0.6820439,0.005805410532770283,5.36887126053329
